person,personLabel,birthCity,birthCityLabel,birthCountryLabel,university,universityLabel,yearFounded,universityCity,universityCityLabel,universityCountryLabel,employer,employerLabel,employerCity,employerCityLabel,employerCountryLabel
http://www.wikidata.org/entity/Q5577783,Anders Björkman,,,,http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,1827-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,http://www.wikidata.org/entity/Q1269766,Technical University of Denmark,http://www.wikidata.org/entity/Q2239,Kongens Lyngby,Denmark
http://www.wikidata.org/entity/Q102360958,Anders Björkström,,,,http://www.wikidata.org/entity/Q221645,Stockholm University,1878-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,,,,,
http://www.wikidata.org/entity/Q102219706,Anders Björn,,,,http://www.wikidata.org/entity/Q782600,Linköping University,1975-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25413,Linköping,Sweden,,,,,
http://www.wikidata.org/entity/Q490790,Anders Björner,,,,http://www.wikidata.org/entity/Q221645,Stockholm University,1878-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,http://www.wikidata.org/entity/Q10441282,Q10441282,Sweden
http://www.wikidata.org/entity/Q490790,Anders Björner,,,,http://www.wikidata.org/entity/Q221645,Stockholm University,1878-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,http://www.wikidata.org/entity/Q49108,Massachusetts Institute of Technology,http://www.wikidata.org/entity/Q49111,Cambridge,United States of America
http://www.wikidata.org/entity/Q3943006,Anders Blixt,,,,http://www.wikidata.org/entity/Q218506,Lund University,1666-12-19T00:00:00Z,http://www.wikidata.org/entity/Q2167,Lund,Sweden,,,,,
http://www.wikidata.org/entity/Q58287418,Anders Blom,,,,http://www.wikidata.org/entity/Q218506,Lund University,1666-12-19T00:00:00Z,http://www.wikidata.org/entity/Q2167,Lund,Sweden,http://www.wikidata.org/entity/Q2303478,Synopsys,http://www.wikidata.org/entity/Q486860,Mountain View,United States of America
http://www.wikidata.org/entity/Q58287418,Anders Blom,,,,http://www.wikidata.org/entity/Q218506,Lund University,1666-12-19T00:00:00Z,http://www.wikidata.org/entity/Q2167,Lund,Sweden,http://www.wikidata.org/entity/Q30266695,QuantumWise (Denmark),http://www.wikidata.org/entity/Q1748,Copenhagen,Denmark
http://www.wikidata.org/entity/Q58287418,Anders Blom,,,,http://www.wikidata.org/entity/Q218506,Lund University,1666-12-19T00:00:00Z,http://www.wikidata.org/entity/Q2167,Lund,Sweden,http://www.wikidata.org/entity/Q30266695,QuantumWise (Denmark),http://www.wikidata.org/entity/Q1748,Copenhagen,Danish Realm
http://www.wikidata.org/entity/Q42405711,Anders Blomberg,,,,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,,,,,
http://www.wikidata.org/entity/Q42405711,Anders Blomberg,,,,http://www.wikidata.org/entity/Q1144565,Umeå University,1965-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25579,Umeå,Sweden,,,,,
